Name,Height
Tacko Fall,89
Phil Farbman,73
Kenneth Faried,80
Dick Farley,76
Jordan Farmar,74
Desmon Farmer,77
Jim Farmer,76
Mike Farmer,79
Tony Farmer,81
Bob Faught,77
Vitor Faverani,83
Derrick Favors,81
Nick Fazekas,83
Dave Fedor,78
Bob Feerick,75
Butch Feher,76
Jamie Feick,80
Ron Feiereisel,75
George Feigenbaum,73
Dave Feitl,83
Kay Felder,69
Cristiano Felicio,83
Carrick Felix,78
Noel Felix,81
Ray Felix,83
Raymond Felton,73
Jake Fendley,72
Bill Fenley,75
Desmond Ferguson,79
Terrance Ferguson,78
Rudy Fernandez,NA
Bruno Fernando,81
Eric Fernsten,82
Al Ferrari,76
Rolando Ferreira,85
Duane Ferrell,79
Yogi Ferrell,72
Arnie Ferrin,76
Bob Ferry,80
Danny Ferry,82
Kyrylo Fesenko,85
Kenny Fields,77
Landry Fields,79
Ron Filipek,77
Greg Fillmore,85
Hank Finkel,84
Michael Finley,79
Danny Finn,73
Dorian Finney-Smith,79
Matt Fish,83
Derek Fisher,73
Gerald Fitch,75
Bob Fitzgerald,77
Dick Fitzgerald,74
Marcus Fizer,NA
Jerry Fleishman,74
Al Fleming,79
Ed Fleming,75
Vern Fleming,77
Luis Flores,74
Bruce Flowers,80
Sleepy Floyd,75
Jonny Flynn,72
Mike Flynn,74
Larry Fogle,77
Jack Foley,75
Ike Fontaine,NA
Levi Fontaine,76
Jeff Foote,84
Bryn Forbes,74
Gary Forbes,79
Alphonso Ford,73
Alton Ford,81
Chris Ford,77
Don Ford,81
Jake Ford,75
Phil Ford,74
Sharrod Ford,81
Sherell Ford,79
T.J. Ford,72
Donnie Forman,70
Bayard Forrest,82
Joseph Forte,76
Courtney Fortson,71
Danny Fortson,80
Fred Foster,77
Greg Foster,83
Jeff Foster,83
Rod Foster,73
Antonis Fotsis,82
Evan Fournier,79
Larry Foust,81
Jerry Fowler,79
Tremaine Fowlkes,80
De'Aaron Fox,75
Harold Fox,74
Jim Fox,82
Rick Fox,79
Randy Foye,76
Adonal Foyle,82
Richie Frahm,77
Steve Francis,75
Tellis Frank,82
Nat Frankel,72
Jamaal Franklin,77
Michael Frazier II,75
Tim Frazier,72
Walt Frazier,76
Will Frazier,79
Melvin Frazier Jr.,77
Anthony Frederick,79
Jimmer Fredette,74
World Free,75
Joel Freeland,82
Donnie Freeman,75
Gary Freeman,81
Rod Freeman,79
Matt Freije,81
Frido Frey,74
Larry Friend,76
Pat Frink,76
Jim Fritsche,80
Channing Frye,84
Bernie Fryer,75
Frank Fucarino,74
Herm Fuetsch,72
Joe Fulks,77
Hiram Fuller,81
Todd Fuller,NA
Tony Fuller,76
Markelle Fultz,75
Lawrence Funderburke,81
Terry Furlow,77
Billy Gabor,71
Wenyen Gabriel,81
Dan Gadzuric,83
Tony Gaffney,80
Daniel Gafford,82
Deng Gai,81
Elmer R. Gainer,NA
Corey Gaines,75
Reece Gaines,78
Sundiata Gaines,73
Mike Gale,76
Chad Gallagher,82
Harry Gallatin,78
Danilo Gallinari,82
Langston Galloway,73
Dave Gambee,78
Kevin Gamble,77
Bob Gantt,76
Jorge Garbajosa,81
Ruben Garces,NA
Alex Garcia,75
Francisco Garcia,79
Earl Gardner,75
Thomas Gardner,77
